"","kvadratkod","survey","prec_breeding"
"AD90","AD90","AD90_3",196.760619024112
"AD91","AD91","AD91_3",197.585678964939
"AD92","AD92","AD92_3",205.748814248969
"AD93","AD93","AD93_3",200.670802934712
"AD94","AD94","AD94_3",192.352564954999
"AD95","AD95","AD95_3",191.601454649853
"AD96","AD96","AD96_3",191.727288468553
"AE81","AE81","AE81_3",194.867823344871
"AE82","AE82","AE82_3",195.922467705467
"AE83","AE83","AE83_3",196.500496220999
"AE90","AE90","AE90_3",193.597105822526
"AE91","AE91","AE91_3",192.966362697221
"AE92","AE92","AE92_3",192.690438355417
"AE93","AE93","AE93_3",194.678521931305
"AE94","AE94","AE94_3",196.322081249916
"AE95","AE95","AE95_3",196.315004690952
"AE96","AE96","AE96_3",197.745587450135
"AE97","AE97","AE97_3",202.144468640191
"AE98","AE98","AE98_3",198.854502768896
"AE99","AE99","AE99_3",197.510493685296
"AF81","AF81","AF81_3",190.740688135104
"AF82","AF82","AF82_3",191.597065631795
"AF90","AF90","AF90_3",190.924240502908
"AF91","AF91","AF91_3",193.615506870335
"AF92","AF92","AF92_3",193.665351505975
"AF93","AF93","AF93_3",195.333174067195
"AF94","AF94","AF94_3",195.535244848208
"AF95","AF95","AF95_3",198.213967456488
"AF96","AF96","AF96_3",199.018140055844
"AF97","AF97","AF97_3",194.862985441888
"AF98","AF98","AF98_3",193.483751985964
"AF99","AF99","AF99_3",193.708406372519
"BC10","BC10","BC10_3",201.727877865982
"BC11","BC11","BC11_3",201.030281188321
"BC20","BC20","BC20_3",194.359551816398
"BC21","BC21","BC21_3",198.812263774321
"BC22","BC22","BC22_3",202.226590937683
"BC23","BC23","BC23_3",200.544047411098
"BC30","BC30","BC30_3",200.472878158155
"BC31","BC31","BC31_3",197.033192036031
"BC32","BC32","BC32_3",200.263648147133
"BC33","BC33","BC33_3",205.108533149164
"BC34","BC34","BC34_3",201.702029407936
"BC40","BC40","BC40_3",206.389785830476
"BC41","BC41","BC41_3",203.186060169045
"BC42","BC42","BC42_3",201.280532769565
"BC43","BC43","BC43_3",206.206414850281
"BC44","BC44","BC44_3",203.679526676781
"BC45","BC45","BC45_3",205.42511123908
"BC50","BC50","BC50_3",201.147377338603
"BC51","BC51","BC51_3",199.758431399167
"BC52","BC52","BC52_3",205.058521888833
"BC53","BC53","BC53_3",204.656501393577
"BC54","BC54","BC54_3",205.868754508434
"BC55","BC55","BC55_3",209.842942937096
"BC56","BC56","BC56_3",209.963045111817
"BC60","BC60","BC60_3",214.59841584715
"BC61","BC61","BC61_3",197.610050629563
"BC62","BC62","BC62_3",202.242989944298
"BC63","BC63","BC63_3",200.06060318308
"BC64","BC64","BC64_3",195.382233109916
"BC65","BC65","BC65_3",201.218375626138
"BC70","BC70","BC70_3",203.743395736602
"BC71","BC71","BC71_3",205.767038912696
"BC72","BC72","BC72_3",203.569752373166
"BC73","BC73","BC73_3",203.313259621139
"BC74","BC74","BC74_3",205.381012961473
"BC75","BC75","BC75_3",202.980099387879
"BC80","BC80","BC80_3",202.804406955801
"BC81","BC81","BC81_3",211.391118329013
"BC82","BC82","BC82_3",206.283757729672
"BC83","BC83","BC83_3",203.401908803944
"BC84","BC84","BC84_3",208.434739335038
"BC85","BC85","BC85_3",208.976188773932
"BC86","BC86","BC86_3",207.012093858407
"BC91","BC91","BC91_3",204.810761912713
"BC92","BC92","BC92_3",205.257770050349
"BC93","BC93","BC93_3",207.582425435347
"BC94","BC94","BC94_3",205.583478485001
"BC95","BC95","BC95_3",206.877812930514
"BC96","BC96","BC96_3",209.484180903601
"BD00","BD00","BD00_3",202.148711337698
"BD01","BD01","BD01_3",203.410674473185
"BD02","BD02","BD02_3",207.754103528405
"BD03","BD03","BD03_3",201.037937027978
"BD04","BD04","BD04_3",195.493439625
"BD05","BD05","BD05_3",192.027289970291
"BD06","BD06","BD06_3",192.071041527756
"BD07","BD07","BD07_3",192.014200336059
"BD08","BD08","BD08_3",191.929664609797
"BD09","BD09","BD09_3",196.271671315039
"BD10","BD10","BD10_3",207.660795662271
"BD11","BD11","BD11_3",208.604115680498
"BD12","BD12","BD12_3",207.424999981197
"BD13","BD13","BD13_3",205.574337226572
"BD14","BD14","BD14_3",195.983512838967
"BD16","BD16","BD16_3",206.343235802713
"BD17","BD17","BD17_3",216.251489613184
"BD18","BD18","BD18_3",200.589048614312
"BD19","BD19","BD19_3",195.396435460136
"BD20","BD20","BD20_3",215.762519935906
"BD21","BD21","BD21_3",217.004577966036
"BD22","BD22","BD22_3",209.937968781542
"BD23","BD23","BD23_3",214.049477877796
"BD24","BD24","BD24_3",199.313093406143
"BD26","BD26","BD26_3",203.400103046142
"BD27","BD27","BD27_3",212.37237190795
"BD28","BD28","BD28_3",204.29198346007
"BD29","BD29","BD29_3",198.692322973544
"BD30","BD30","BD30_3",224.565721873158
"BD31","BD31","BD31_3",219.029012908931
"BD32","BD32","BD32_3",212.270202238167
"BD33","BD33","BD33_3",199.458455207863
"BD34","BD34","BD34_3",210.713360997626
"BD35","BD35","BD35_3",211.038890827881
"BD36","BD36","BD36_3",204.069548598356
"BD37","BD37","BD37_3",192.720242743358
"BD38","BD38","BD38_3",190.500813332284
"BD39","BD39","BD39_3",198.234210988821
"BD40","BD40","BD40_3",227.012095986431
"BD41","BD41","BD41_3",216.658075527866
"BD42","BD42","BD42_3",208.559480146618
"BD43","BD43","BD43_3",209.853440456559
"BD44","BD44","BD44_3",211.319338942027
"BD45","BD45","BD45_3",214.102120681493
"BD46","BD46","BD46_3",202.804429151635
"BD47","BD47","BD47_3",201.61624040056
"BD48","BD48","BD48_3",198.16170048883
"BD49","BD49","BD49_3",199.671797134801
"BD50","BD50","BD50_3",226.304748109606
"BD51","BD51","BD51_3",212.294174303153
"BD52","BD52","BD52_3",208.64138325602
"BD53","BD53","BD53_3",212.256622154845
"BD54","BD54","BD54_3",210.317348915639
"BD55","BD55","BD55_3",205.465804104713
"BD56","BD56","BD56_3",207.465913769636
"BD57","BD57","BD57_3",212.731928677975
"BD58","BD58","BD58_3",214.992379407546
"BD59","BD59","BD59_3",200.627979893635
"BD60","BD60","BD60_3",220.841616849911
"BD61","BD61","BD61_3",217.176524466754
"BD62","BD62","BD62_3",216.09275560084
"BD63","BD63","BD63_3",216.438505791755
"BD64","BD64","BD64_3",224.292342480509
"BD65","BD65","BD65_3",210.672950025666
"BD66","BD66","BD66_3",211.888728535763
"BD67","BD67","BD67_3",215.138762222203
"BD68","BD68","BD68_3",214.585868859343
"BD69","BD69","BD69_3",207.32889298055
"BD70","BD70","BD70_3",236.136400389483
"BD71","BD71","BD71_3",230.604386103794
"BD72","BD72","BD72_3",220.4609423911
"BD73","BD73","BD73_3",215.594483095189
"BD74","BD74","BD74_3",217.085472450854
"BD75","BD75","BD75_3",215.198537280296
"BD76","BD76","BD76_3",207.905122843199
"BD77","BD77","BD77_3",207.736544642113
"BD78","BD78","BD78_3",205.170935231442
"BD79","BD79","BD79_3",209.36685100717
"BD80","BD80","BD80_3",222.817273292962
"BD81","BD81","BD81_3",212.382154626181
"BD82","BD82","BD82_3",217.846460409423
"BD83","BD83","BD83_3",216.438314199263
"BD84","BD84","BD84_3",223.269411344251
"BD85","BD85","BD85_3",217.862962094816
"BD86","BD86","BD86_3",211.822371247273
"BD87","BD87","BD87_3",213.844944818288
"BD88","BD88","BD88_3",202.810030566174
"BD89","BD89","BD89_3",201.793145647726
"BD90","BD90","BD90_3",210.683514387874
"BD91","BD91","BD91_3",210.885275422342
"BD92","BD92","BD92_3",212.759838184805
"BD93","BD93","BD93_3",215.437875914625
"BD94","BD94","BD94_3",221.487962580943
"BD95","BD95","BD95_3",213.956344869191
"BD96","BD96","BD96_3",216.533054526164
"BD97","BD97","BD97_3",216.081447323428
"BD98","BD98","BD98_3",207.172553739235
"BD99","BD99","BD99_3",211.186279053618
"BE02","BE02","BE02_3",198.347716533802
"BE03","BE03","BE03_3",200.107435438169
"BE04","BE04","BE04_3",199.084068738517
"BE05","BE05","BE05_3",200.866795753853
"BE06","BE06","BE06_3",202.651291142184
"BE07","BE07","BE07_3",201.714413408433
"BE08","BE08","BE08_3",200.127388893883
"BE09","BE09","BE09_3",202.727285594781
"BE10","BE10","BE10_3",203.672992289516
"BE11","BE11","BE11_3",204.413053639592
"BE12","BE12","BE12_3",206.10794084594
"BE13","BE13","BE13_3",208.327731045719
"BE14","BE14","BE14_3",210.135817387721
"BE15","BE15","BE15_3",210.187588690523
"BE16","BE16","BE16_3",212.624139969635
"BE17","BE17","BE17_3",209.734046604492
"BE18","BE18","BE18_3",207.598440649969
"BE19","BE19","BE19_3",210.188230750227
"BE20","BE20","BE20_3",213.134988338778
"BE21","BE21","BE21_3",219.434149591609
"BE22","BE22","BE22_3",224.342865419048
"BE23","BE23","BE23_3",221.358388218608
"BE24","BE24","BE24_3",221.58183416138
"BE25","BE25","BE25_3",223.817961972878
"BE26","BE26","BE26_3",222.817037214464
"BE27","BE27","BE27_3",221.440636127285
"BE28","BE28","BE28_3",216.130881800995
"BE29","BE29","BE29_3",212.926371263821
"BE30","BE30","BE30_3",218.929688619035
"BE31","BE31","BE31_3",224.746939082709
"BE32","BE32","BE32_3",230.684823114327
"BE33","BE33","BE33_3",227.730197223302
"BE34","BE34","BE34_3",222.422934285219
"BE35","BE35","BE35_3",217.69492365748
"BE36","BE36","BE36_3",226.339225242225
"BE37","BE37","BE37_3",223.499639074453
"BE38","BE38","BE38_3",222.61929892467
"BE39","BE39","BE39_3",218.060632690205
"BE40","BE40","BE40_3",225.019725861361
"BE41","BE41","BE41_3",226.063758782733
"BE42","BE42","BE42_3",222.471019406973
"BE43","BE43","BE43_3",227.171751777936
"BE44","BE44","BE44_3",230.728386310821
"BE45","BE45","BE45_3",231.956673423796
"BE46","BE46","BE46_3",228.760884800532
"BE47","BE47","BE47_3",227.782748910133
"BE48","BE48","BE48_3",222.557218371578
"BE49","BE49","BE49_3",221.730482279255
"BE50","BE50","BE50_3",231.265055503471
"BE51","BE51","BE51_3",231.09111452422
"BE52","BE52","BE52_3",223.814619460947
"BE53","BE53","BE53_3",219.58170397407
"BE54","BE54","BE54_3",225.562673876897
"BE55","BE55","BE55_3",238.26423241354
"BE56","BE56","BE56_3",234.084131741091
"BE57","BE57","BE57_3",223.875203394622
"BE58","BE58","BE58_3",223.66238708725
"BE59","BE59","BE59_3",228.507972185724
"BE60","BE60","BE60_3",231.215183754925
"BE61","BE61","BE61_3",227.808239557288
"BE62","BE62","BE62_3",229.756211076128
"BE63","BE63","BE63_3",227.813429238612
"BE64","BE64","BE64_3",226.71701703531
"BE65","BE65","BE65_3",220.754331805719
"BE66","BE66","BE66_3",224.057272057017
"BE67","BE67","BE67_3",231.112733970039
"BE68","BE68","BE68_3",223.568214447078
"BE69","BE69","BE69_3",227.541177778809
"BE70","BE70","BE70_3",236.325329868378
"BE71","BE71","BE71_3",237.432652927085
"BE72","BE72","BE72_3",241.817645185208
"BE73","BE73","BE73_3",238.107528052697
"BE74","BE74","BE74_3",238.72009555273
"BE75","BE75","BE75_3",230.763783363889
"BE76","BE76","BE76_3",225.989562517993
"BE77","BE77","BE77_3",223.766733818663
"BE78","BE78","BE78_3",223.00501230938
"BE79","BE79","BE79_3",225.526854916387
"BE80","BE80","BE80_3",233.785583527287
"BE81","BE81","BE81_3",239.267397134687
"BE82","BE82","BE82_3",239.800155976931
"BE83","BE83","BE83_3",230.989081975654
"BE84","BE84","BE84_3",229.275499966013
"BE85","BE85","BE85_3",227.300038193627
"BE86","BE86","BE86_3",223.138442231013
"BE87","BE87","BE87_3",223.495993308913
"BE88","BE88","BE88_3",225.012002544941
"BE89","BE89","BE89_3",230.114589199618
"BE90","BE90","BE90_3",234.748520128538
"BE91","BE91","BE91_3",230.184458612575
"BE92","BE92","BE92_3",231.132380108605
"BE93","BE93","BE93_3",229.296736450701
"BE94","BE94","BE94_3",226.159144780399
"BE95","BE95","BE95_3",226.135871021371
"BE96","BE96","BE96_3",227.07563552415
"BE97","BE97","BE97_3",228.404204222868
"BE98","BE98","BE98_3",225.446502886145
"BE99","BE99","BE99_3",221.507799178114
"BF00","BF00","BF00_3",194.225232376303
"BF01","BF01","BF01_3",192.01674822379
"BF02","BF02","BF02_3",194.356542167044
"BF03","BF03","BF03_3",200.481820609322
"BF04","BF04","BF04_3",193.187141635158
"BF05","BF05","BF05_3",200.383947743883
"BF06","BF06","BF06_3",195.365847210758
"BF07","BF07","BF07_3",195.426547072054
"BF08","BF08","BF08_3",196.46303881022
"BF10","BF10","BF10_3",201.716842469042
"BF11","BF11","BF11_3",206.126720322059
"BF12","BF12","BF12_3",199.587221820231
"BF13","BF13","BF13_3",199.663382401977
"BF14","BF14","BF14_3",205.891160997199
"BF15","BF15","BF15_3",204.489711262316
"BF16","BF16","BF16_3",203.145737889995
"BF17","BF17","BF17_3",204.229628754632
"BF18","BF18","BF18_3",202.611918832589
"BF20","BF20","BF20_3",209.906182161715
"BF21","BF21","BF21_3",208.205871680824
"BF22","BF22","BF22_3",203.339853389819
"BF23","BF23","BF23_3",208.509933442912
"BF24","BF24","BF24_3",213.284843583163
"BF25","BF25","BF25_3",213.677460256474
"BF26","BF26","BF26_3",212.119453012543
"BF27","BF27","BF27_3",212.341300092139
"BF28","BF28","BF28_3",211.616652403848
"BF29","BF29","BF29_3",208.511085805278
"BF30","BF30","BF30_3",217.76654753168
"BF31","BF31","BF31_3",212.623819998453
"BF32","BF32","BF32_3",216.845163200172
"BF33","BF33","BF33_3",216.458014668726
"BF34","BF34","BF34_3",219.506375983096
"BF35","BF35","BF35_3",220.97170497899
"BF36","BF36","BF36_3",221.756335062863
"BF37","BF37","BF37_3",223.418551426898
"BF38","BF38","BF38_3",220.194967286615
"BF39","BF39","BF39_3",214.955984230943
"BF40","BF40","BF40_3",221.002342766238
"BF41","BF41","BF41_3",218.98544745804
"BF42","BF42","BF42_3",222.129140250265
"BF43","BF43","BF43_3",213.256904593216
"BF44","BF44","BF44_3",215.007717731019
"BF45","BF45","BF45_3",220.56105898866
"BF46","BF46","BF46_3",227.038725942752
"BF47","BF47","BF47_3",224.458790193191
"BF48","BF48","BF48_3",220.092987605407
"BF49","BF49","BF49_3",220.792215901034
"BF50","BF50","BF50_3",218.994126717774
"BF51","BF51","BF51_3",225.728833311021
"BF52","BF52","BF52_3",223.42302163201
"BF53","BF53","BF53_3",224.101641461317
"BF54","BF54","BF54_3",225.152402966439
"BF55","BF55","BF55_3",225.920323912009
"BF56","BF56","BF56_3",222.707580641587
"BF57","BF57","BF57_3",228.886784096507
"BF58","BF58","BF58_3",224.298429118163
"BF59","BF59","BF59_3",226.500651393418
"BF60","BF60","BF60_3",225.271201264483
"BF61","BF61","BF61_3",226.147528874883
"BF62","BF62","BF62_3",231.707567652628
"BF63","BF63","BF63_3",230.39394048795
"BF64","BF64","BF64_3",229.229315257537
"BF65","BF65","BF65_3",227.721583819379
"BF66","BF66","BF66_3",227.682998614814
"BF67","BF67","BF67_3",224.923209830394
"BF68","BF68","BF68_3",226.78036992234
"BF69","BF69","BF69_3",231.349623102907
"BF70","BF70","BF70_3",237.660980184997
"BF71","BF71","BF71_3",233.273328068756
"BF72","BF72","BF72_3",234.121957919331
"BF73","BF73","BF73_3",236.131796409264
"BF74","BF74","BF74_3",234.227673936577
"BF75","BF75","BF75_3",232.707802409454
"BF76","BF76","BF76_3",230.773723892306
"BF77","BF77","BF77_3",230.378648266888
"BF78","BF78","BF78_3",234.945445265855
"BF79","BF79","BF79_3",232.296000593016
"BF80","BF80","BF80_3",239.792392745008
"BF81","BF81","BF81_3",244.61740470562
"BF82","BF82","BF82_3",242.697696921574
"BF83","BF83","BF83_3",239.47362555883
"BF84","BF84","BF84_3",238.401424463857
"BF85","BF85","BF85_3",238.91172421221
"BF86","BF86","BF86_3",237.99386344259
"BF87","BF87","BF87_3",237.021945283495
"BF88","BF88","BF88_3",240.872486382479
"BF89","BF89","BF89_3",235.461788775377
"BF90","BF90","BF90_3",246.112263865421
"BF91","BF91","BF91_3",248.609513223465
"BF92","BF92","BF92_3",243.274547888858
"BF93","BF93","BF93_3",242.872663257669
"BF94","BF94","BF94_3",247.497479143545
"BF95","BF95","BF95_3",240.906452223037
"BF96","BF96","BF96_3",240.35954856415
"BF97","BF97","BF97_3",237.853466675499
"BF98","BF98","BF98_3",236.100896860484
"BF99","BF99","BF99_3",232.800289072726
"BG09","BG09","BG09_3",195.927965739898
"BG19","BG19","BG19_3",198.367615569039
"BG26","BG26","BG26_3",209.44382220971
"BG27","BG27","BG27_3",208.871732791414
"BG28","BG28","BG28_3",205.5023076304
"BG29","BG29","BG29_3",206.499242313234
"BG30","BG30","BG30_3",208.11064499615
"BG31","BG31","BG31_3",208.956710778633
"BG32","BG32","BG32_3",208.978023234411
"BG33","BG33","BG33_3",208.824813609448
"BG36","BG36","BG36_3",208.971089877693
"BG37","BG37","BG37_3",205.402209365069
"BG38","BG38","BG38_3",204.90335609176
"BG39","BG39","BG39_3",215.855805080054
"BG40","BG40","BG40_3",210.712379217276
"BG41","BG41","BG41_3",212.590499318277
"BG42","BG42","BG42_3",211.937249310603
"BG43","BG43","BG43_3",211.642079275694
"BG45","BG45","BG45_3",213.073613089237
"BG48","BG48","BG48_3",215.281729282646
"BG49","BG49","BG49_3",216.062373057405
"BG50","BG50","BG50_3",223.777751480238
"BG51","BG51","BG51_3",219.878570061906
"BG52","BG52","BG52_3",219.648894814271
"BG53","BG53","BG53_3",220.844805233573
"BG54","BG54","BG54_3",220.614182861959
"BG55","BG55","BG55_3",221.142501566429
"BG56","BG56","BG56_3",220.896101309298
"BG57","BG57","BG57_3",221.226465068078
"BG58","BG58","BG58_3",222.133178616014
"BG59","BG59","BG59_3",218.678751822903
"BG60","BG60","BG60_3",222.893828892735
"BG61","BG61","BG61_3",223.675934216384
"BG62","BG62","BG62_3",226.848411792913
"BG63","BG63","BG63_3",226.808947674585
"BG64","BG64","BG64_3",227.847990295373
"BG65","BG65","BG65_3",228.157503793247
"BG66","BG66","BG66_3",224.639613481558
"BG67","BG67","BG67_3",226.901745413627
"BG68","BG68","BG68_3",231.548893008719
"BG69","BG69","BG69_3",228.72146402123
"BG70","BG70","BG70_3",230.83662840913
"BG71","BG71","BG71_3",231.919820863551
"BG72","BG72","BG72_3",238.224244755664
"BG73","BG73","BG73_3",235.649204006456
"BG74","BG74","BG74_3",236.612563288841
"BG75","BG75","BG75_3",234.681181752745
"BG76","BG76","BG76_3",230.338318078661
"BG77","BG77","BG77_3",232.884799688235
"BG78","BG78","BG78_3",235.057588975858
"BG79","BG79","BG79_3",236.196394313748
"BG80","BG80","BG80_3",241.298827539732
"BG81","BG81","BG81_3",249.91541632656
"BG82","BG82","BG82_3",242.974353490871
"BG83","BG83","BG83_3",241.814073971972
"BG84","BG84","BG84_3",246.504450794817
"BG85","BG85","BG85_3",234.85325537086
"BG86","BG86","BG86_3",238.93752227753
"BG87","BG87","BG87_3",241.052265305855
"BG88","BG88","BG88_3",241.239053346483
"BG89","BG89","BG89_3",247.087472418649
"BG90","BG90","BG90_3",243.229106598159
"BG91","BG91","BG91_3",240.97577297459
"BG92","BG92","BG92_3",248.226551006924
"BG93","BG93","BG93_3",249.418750789335
"BG94","BG94","BG94_3",241.382973763092
"BG95","BG95","BG95_3",241.103245277515
"BG96","BG96","BG96_3",251.001273422409
"BG97","BG97","BG97_3",248.706734281727
"BG98","BG98","BG98_3",242.956168025388
"BG99","BG99","BG99_3",251.006206236505
"BH49","BH49","BH49_3",210.666666666667
"BH57","BH57","BH57_3",219.224551618389
"BH58","BH58","BH58_3",223.934250775609
"BH59","BH59","BH59_3",225.618938130906
"BH66","BH66","BH66_3",223.473658101371
"BH67","BH67","BH67_3",223.643428003905
"BH68","BH68","BH68_3",225.462210550143
"BH69","BH69","BH69_3",223.812769713
"BH76","BH76","BH76_3",230.258020299793
"BH77","BH77","BH77_3",231.831208083424
"BH78","BH78","BH78_3",236.553785551889
"BH79","BH79","BH79_3",233.476761798702
"BH86","BH86","BH86_3",237.401364677635
"BH87","BH87","BH87_3",235.935251340575
"BH88","BH88","BH88_3",238.017591041952
"BH89","BH89","BH89_3",239.008573568934
"BH96","BH96","BH96_3",244.248634637467
"BH97","BH97","BH97_3",245.404933156523
"BH98","BH98","BH98_3",243.977236103225
"BH99","BH99","BH99_3",245.149930564825
"CB70","CB70","CB70_3",200.74925703887
"CB80","CB80","CB80_3",193.041097595519
"CB81","CB81","CB81_3",191.380147210677
"CB82","CB82","CB82_3",192.691339806583
"CB90","CB90","CB90_3",188.684563311535
"CB91","CB91","CB91_3",191.612413291244
"CB92","CB92","CB92_3",191.082577297934
"CB93","CB93","CB93_3",194.613019514202
"CB94","CB94","CB94_3",186.373565364366
"CC01","CC01","CC01_3",209.06109511853
"CC03","CC03","CC03_3",207.009291563393
"CC04","CC04","CC04_3",205.951092713972
"CC05","CC05","CC05_3",203.311585875476
"CC06","CC06","CC06_3",209.222465239329
"CC10","CC10","CC10_3",207.272030289975
"CC11","CC11","CC11_3",207.077235807748
"CC14","CC14","CC14_3",204.444527214834
"CC15","CC15","CC15_3",206.259906749993
"CC16","CC16","CC16_3",205.453992955924
"CC20","CC20","CC20_3",210.594206796635
"CC21","CC21","CC21_3",217.287982724154
"CC22","CC22","CC22_3",207.783308787706
"CC23","CC23","CC23_3",206.31089882345
"CC24","CC24","CC24_3",207.262164650271
"CC25","CC25","CC25_3",206.009785295445
"CC26","CC26","CC26_3",204.238219443435
"CC30","CC30","CC30_3",210.411744807602
"CC31","CC31","CC31_3",208.535074289658
"CC32","CC32","CC32_3",213.275023518066
"CC33","CC33","CC33_3",206.691760130544
"CC34","CC34","CC34_3",213.452318281826
"CC35","CC35","CC35_3",216.376306255275
"CC36","CC36","CC36_3",213.247801108009
"CC40","CC40","CC40_3",212.773952991384
"CC41","CC41","CC41_3",210.421794978006
"CC42","CC42","CC42_3",201.262845141789
"CC43","CC43","CC43_3",201.120579261909
"CC44","CC44","CC44_3",205.97120525077
"CC45","CC45","CC45_3",212.981828678743
"CC46","CC46","CC46_3",203.827730299245
"CC47","CC47","CC47_3",194.105824469604
"CC50","CC50","CC50_3",213.707185613455
"CC51","CC51","CC51_3",213.017626516693
"CC52","CC52","CC52_3",210.672310126113
"CC53","CC53","CC53_3",207.886864835277
"CC54","CC54","CC54_3",203.91325460565
"CC55","CC55","CC55_3",200.761148637024
"CC56","CC56","CC56_3",197.411540762357
"CC57","CC57","CC57_3",200.626177967566
"CC60","CC60","CC60_3",200.988010105418
"CC61","CC61","CC61_3",202.158136789968
"CC62","CC62","CC62_3",199.044906870187
"CC63","CC63","CC63_3",201.147813740547
"CC64","CC64","CC64_3",200.356051829754
"CC65","CC65","CC65_3",196.839450062998
"CC66","CC66","CC66_3",195.359472110928
"CC67","CC67","CC67_3",203.195668725741
"CC68","CC68","CC68_3",201.885529303378
"CC70","CC70","CC70_3",209.145496688545
"CC71","CC71","CC71_3",209.79436182212
"CC72","CC72","CC72_3",206.750758010872
"CC73","CC73","CC73_3",196.839195569788
"CC74","CC74","CC74_3",200.984311844899
"CC75","CC75","CC75_3",199.618130270597
"CC76","CC76","CC76_3",199.909929965571
"CC77","CC77","CC77_3",198.520834169038
"CC78","CC78","CC78_3",198.423899653828
"CC79","CC79","CC79_3",200.70084747765
"CC80","CC80","CC80_3",210.157271120637
"CC81","CC81","CC81_3",214.152596432399
"CC82","CC82","CC82_3",214.15663211258
"CC83","CC83","CC83_3",203.335443327756
"CC84","CC84","CC84_3",201.939956156172
