"","kvadratkod","survey","tmean_year"
"AD90","AD90","AD90_3",9.92801227071647
"AD91","AD91","AD91_3",9.91260547744505
"AD92","AD92","AD92_3",9.82114527240381
"AD93","AD93","AD93_3",9.85073517587911
"AD94","AD94","AD94_3",9.9154604337557
"AD95","AD95","AD95_3",9.92232383983183
"AD96","AD96","AD96_3",9.92795421112598
"AE81","AE81","AE81_3",10.0269529553182
"AE82","AE82","AE82_3",10.0055871280197
"AE83","AE83","AE83_3",9.99370807262903
"AE90","AE90","AE90_3",10.0345545720633
"AE91","AE91","AE91_3",10.0226740390073
"AE92","AE92","AE92_3",10.0093401840767
"AE93","AE93","AE93_3",9.98969182212685
"AE94","AE94","AE94_3",9.97107481581364
"AE95","AE95","AE95_3",9.96386593170838
"AE96","AE96","AE96_3",9.94127663307476
"AE97","AE97","AE97_3",9.89842129988964
"AE98","AE98","AE98_3",9.91671991200946
"AE99","AE99","AE99_3",9.93149496917266
"AF81","AF81","AF81_3",10.2274215074076
"AF82","AF82","AF82_3",10.2063588770928
"AF90","AF90","AF90_3",10.2341226720672
"AF91","AF91","AF91_3",10.1895525677323
"AF92","AF92","AF92_3",10.1656274619093
"AF93","AF93","AF93_3",10.1449477803264
"AF94","AF94","AF94_3",10.1280877085296
"AF95","AF95","AF95_3",10.1005313811425
"AF96","AF96","AF96_3",10.0723014210458
"AF97","AF97","AF97_3",10.0803125574408
"AF98","AF98","AF98_3",10.0593593271174
"AF99","AF99","AF99_3",10.0464892125588
"BC10","BC10","BC10_3",9.80396372480935
"BC11","BC11","BC11_3",9.83022874967035
"BC20","BC20","BC20_3",9.79493446060953
"BC21","BC21","BC21_3",9.78499893138178
"BC22","BC22","BC22_3",9.79938254997252
"BC23","BC23","BC23_3",9.8354192837634
"BC30","BC30","BC30_3",9.75732810737682
"BC31","BC31","BC31_3",9.77592586182219
"BC32","BC32","BC32_3",9.7488706361594
"BC33","BC33","BC33_3",9.748214785356
"BC34","BC34","BC34_3",9.8109140062907
"BC40","BC40","BC40_3",9.70866004172251
"BC41","BC41","BC41_3",9.72590950410732
"BC42","BC42","BC42_3",9.71346385980922
"BC43","BC43","BC43_3",9.66321761843499
"BC44","BC44","BC44_3",9.76518719755173
"BC45","BC45","BC45_3",9.79682555753715
"BC50","BC50","BC50_3",9.74265284050556
"BC51","BC51","BC51_3",9.73328003917459
"BC52","BC52","BC52_3",9.68218933271973
"BC53","BC53","BC53_3",9.64441010083265
"BC54","BC54","BC54_3",9.68678679350752
"BC55","BC55","BC55_3",9.70517783159246
"BC56","BC56","BC56_3",9.72237330250922
"BC60","BC60","BC60_3",9.64850834795551
"BC61","BC61","BC61_3",9.80828477579508
"BC62","BC62","BC62_3",9.74959020832641
"BC63","BC63","BC63_3",9.70943995837506
"BC64","BC64","BC64_3",9.76270064366551
"BC65","BC65","BC65_3",9.73253424752255
"BC70","BC70","BC70_3",9.71534824476094
"BC71","BC71","BC71_3",9.74811831705098
"BC72","BC72","BC72_3",9.76673861120337
"BC73","BC73","BC73_3",9.74390186712073
"BC74","BC74","BC74_3",9.76568459887315
"BC75","BC75","BC75_3",9.77613228104297
"BC80","BC80","BC80_3",9.78631869338751
"BC81","BC81","BC81_3",9.71065856103353
"BC82","BC82","BC82_3",9.76459501007959
"BC83","BC83","BC83_3",9.78630285623674
"BC84","BC84","BC84_3",9.74356082145981
"BC85","BC85","BC85_3",9.73208949900059
"BC86","BC86","BC86_3",9.77123548241647
"BC91","BC91","BC91_3",9.77961088188249
"BC92","BC92","BC92_3",9.77830507331883
"BC93","BC93","BC93_3",9.76916017316836
"BC94","BC94","BC94_3",9.76028497939304
"BC95","BC95","BC95_3",9.73280999996989
"BC96","BC96","BC96_3",9.73158410617461
"BD00","BD00","BD00_3",9.88331316167388
"BD01","BD01","BD01_3",9.84860665386257
"BD02","BD02","BD02_3",9.72446593641235
"BD03","BD03","BD03_3",9.74165527378382
"BD04","BD04","BD04_3",9.85060364181597
"BD05","BD05","BD05_3",9.91158688845681
"BD06","BD06","BD06_3",9.91197164192329
"BD07","BD07","BD07_3",9.91284472499683
"BD08","BD08","BD08_3",9.91132803339501
"BD09","BD09","BD09_3",9.88753856025579
"BD10","BD10","BD10_3",9.82630310684744
"BD11","BD11","BD11_3",9.77397134549736
"BD12","BD12","BD12_3",9.68471914855904
"BD13","BD13","BD13_3",9.67320035164411
"BD14","BD14","BD14_3",9.82368323512364
"BD16","BD16","BD16_3",9.82848453962929
"BD17","BD17","BD17_3",9.67646238111881
"BD18","BD18","BD18_3",9.809673995263
"BD19","BD19","BD19_3",9.8500548182079
"BD20","BD20","BD20_3",9.73958479038648
"BD21","BD21","BD21_3",9.69091200284828
"BD22","BD22","BD22_3",9.65342167611808
"BD23","BD23","BD23_3",9.54579018838793
"BD24","BD24","BD24_3",9.74529093653399
"BD26","BD26","BD26_3",9.80824068628683
"BD27","BD27","BD27_3",9.57614219124995
"BD28","BD28","BD28_3",9.66374963738781
"BD29","BD29","BD29_3",9.77951055590635
"BD30","BD30","BD30_3",9.65335300756392
"BD31","BD31","BD31_3",9.60759926932733
"BD32","BD32","BD32_3",9.62418778560396
"BD33","BD33","BD33_3",9.69905706556298
"BD34","BD34","BD34_3",9.78451625862349
"BD35","BD35","BD35_3",9.78887140280829
"BD36","BD36","BD36_3",9.78430453462498
"BD37","BD37","BD37_3",9.74966909435453
"BD38","BD38","BD38_3",9.75802674283111
"BD39","BD39","BD39_3",9.75341659006903
"BD40","BD40","BD40_3",9.56017277882273
"BD41","BD41","BD41_3",9.6097477758484
"BD42","BD42","BD42_3",9.70012047927483
"BD43","BD43","BD43_3",9.75052885001474
"BD44","BD44","BD44_3",9.78155829052979
"BD45","BD45","BD45_3",9.71367074410611
"BD46","BD46","BD46_3",9.79807092745633
"BD47","BD47","BD47_3",9.80435725103935
"BD48","BD48","BD48_3",9.82115023754551
"BD49","BD49","BD49_3",9.78412518371069
"BD50","BD50","BD50_3",9.55032622188945
"BD51","BD51","BD51_3",9.66826513258094
"BD52","BD52","BD52_3",9.77402160435086
"BD53","BD53","BD53_3",9.77576206002177
"BD54","BD54","BD54_3",9.79178361576262
"BD55","BD55","BD55_3",9.78907659048273
"BD56","BD56","BD56_3",9.79155519020796
"BD57","BD57","BD57_3",9.73690245211857
"BD58","BD58","BD58_3",9.69399487284266
"BD59","BD59","BD59_3",9.80484191805589
"BD60","BD60","BD60_3",9.57039762017532
"BD61","BD61","BD61_3",9.65188923258297
"BD62","BD62","BD62_3",9.75513413633529
"BD63","BD63","BD63_3",9.75472257512177
"BD64","BD64","BD64_3",9.67788056831589
"BD65","BD65","BD65_3",9.76484799591144
"BD66","BD66","BD66_3",9.74874820191817
"BD67","BD67","BD67_3",9.67249809624022
"BD68","BD68","BD68_3",9.58597315903872
"BD69","BD69","BD69_3",9.73790062323019
"BD70","BD70","BD70_3",9.46026546127281
"BD71","BD71","BD71_3",9.52253753118121
"BD72","BD72","BD72_3",9.6937484299614
"BD73","BD73","BD73_3",9.71953608047108
"BD74","BD74","BD74_3",9.63672946629948
"BD75","BD75","BD75_3",9.69098654613444
"BD76","BD76","BD76_3",9.75521613762571
"BD77","BD77","BD77_3",9.69698981165016
"BD78","BD78","BD78_3",9.65797409338151
"BD79","BD79","BD79_3",9.69904520731592
"BD80","BD80","BD80_3",9.45431314373206
"BD81","BD81","BD81_3",9.55825182619227
"BD82","BD82","BD82_3",9.65225333570083
"BD83","BD83","BD83_3",9.68138185967865
"BD84","BD84","BD84_3",9.5811565208477
"BD85","BD85","BD85_3",9.60059073458639
"BD86","BD86","BD86_3",9.69746032218404
"BD87","BD87","BD87_3",9.67829750737405
"BD88","BD88","BD88_3",9.74724751788751
"BD89","BD89","BD89_3",9.76918681718887
"BD90","BD90","BD90_3",9.56533808115888
"BD91","BD91","BD91_3",9.62247694553508
"BD92","BD92","BD92_3",9.65483541299563
"BD93","BD93","BD93_3",9.64285282394339
"BD94","BD94","BD94_3",9.52842139327862
"BD95","BD95","BD95_3",9.53927867685771
"BD96","BD96","BD96_3",9.60338356223028
"BD97","BD97","BD97_3",9.59891010982842
"BD98","BD98","BD98_3",9.72553320640977
"BD99","BD99","BD99_3",9.74228899558648
"BE02","BE02","BE02_3",9.97608005743829
"BE03","BE03","BE03_3",9.94774496953949
"BE04","BE04","BE04_3",9.94066339158949
"BE05","BE05","BE05_3",9.92615374915427
"BE06","BE06","BE06_3",9.90215153630294
"BE07","BE07","BE07_3",9.88815394535459
"BE08","BE08","BE08_3",9.89600661215605
"BE09","BE09","BE09_3",9.88960886874166
"BE10","BE10","BE10_3",9.97356731235654
"BE11","BE11","BE11_3",9.95290816003603
"BE12","BE12","BE12_3",9.92224205318835
"BE13","BE13","BE13_3",9.86965009596854
"BE14","BE14","BE14_3",9.85376846497609
"BE15","BE15","BE15_3",9.85066942179975
"BE16","BE16","BE16_3",9.80682575390688
"BE17","BE17","BE17_3",9.81461234669804
"BE18","BE18","BE18_3",9.85293404312137
"BE19","BE19","BE19_3",9.82683047499951
"BE20","BE20","BE20_3",9.91550182229577
"BE21","BE21","BE21_3",9.83907736781802
"BE22","BE22","BE22_3",9.75058198873933
"BE23","BE23","BE23_3",9.72279040138171
"BE24","BE24","BE24_3",9.71103216391849
"BE25","BE25","BE25_3",9.67982326551044
"BE26","BE26","BE26_3",9.67004151682001
"BE27","BE27","BE27_3",9.68195706229979
"BE28","BE28","BE28_3",9.75811643607268
"BE29","BE29","BE29_3",9.77999293228651
"BE30","BE30","BE30_3",9.84430672523978
"BE31","BE31","BE31_3",9.6811557308519
"BE32","BE32","BE32_3",9.53184096931246
"BE33","BE33","BE33_3",9.54800999226684
"BE34","BE34","BE34_3",9.6040715961621
"BE35","BE35","BE35_3",9.61484173095153
"BE36","BE36","BE36_3",9.55636695923516
"BE37","BE37","BE37_3",9.58235683009234
"BE38","BE38","BE38_3",9.64960292763404
"BE39","BE39","BE39_3",9.72755361224193
"BE40","BE40","BE40_3",9.79769232974888
"BE41","BE41","BE41_3",9.67604730908275
"BE42","BE42","BE42_3",9.57613269361019
"BE43","BE43","BE43_3",9.50042363402203
"BE44","BE44","BE44_3",9.50525568863594
"BE45","BE45","BE45_3",9.49029757889191
"BE46","BE46","BE46_3",9.495529436074
"BE47","BE47","BE47_3",9.51660566698189
"BE48","BE48","BE48_3",9.61915591409412
"BE49","BE49","BE49_3",9.67739265445319
"BE50","BE50","BE50_3",9.73090004153878
"BE51","BE51","BE51_3",9.62474547291556
"BE52","BE52","BE52_3",9.59604014529869
"BE53","BE53","BE53_3",9.57439073648671
"BE54","BE54","BE54_3",9.5158132174729
"BE55","BE55","BE55_3",9.3915519956554
"BE56","BE56","BE56_3",9.38752528238979
"BE57","BE57","BE57_3",9.48871477367589
"BE58","BE58","BE58_3",9.58486476250745
"BE59","BE59","BE59_3",9.61277136448484
"BE60","BE60","BE60_3",9.70969749854786
"BE61","BE61","BE61_3",9.64797402581519
"BE62","BE62","BE62_3",9.59595417449031
"BE63","BE63","BE63_3",9.57055194115293
"BE64","BE64","BE64_3",9.51267302699768
"BE65","BE65","BE65_3",9.45951617052329
"BE66","BE66","BE66_3",9.43978373404998
"BE67","BE67","BE67_3",9.45994954039806
"BE68","BE68","BE68_3",9.56530893617124
"BE69","BE69","BE69_3",9.5694403349061
"BE70","BE70","BE70_3",9.64231620955353
"BE71","BE71","BE71_3",9.57162350321549
"BE72","BE72","BE72_3",9.4678284428781
"BE73","BE73","BE73_3",9.48277812848785
"BE74","BE74","BE74_3",9.44929141158307
"BE75","BE75","BE75_3",9.46353721190217
"BE76","BE76","BE76_3",9.47589167712153
"BE77","BE77","BE77_3",9.49589446312845
"BE78","BE78","BE78_3",9.57429181294364
"BE79","BE79","BE79_3",9.56465856270317
"BE80","BE80","BE80_3",9.61390937481724
"BE81","BE81","BE81_3",9.49345688891832
"BE82","BE82","BE82_3",9.40656288337864
"BE83","BE83","BE83_3",9.43101101300455
"BE84","BE84","BE84_3",9.41682019005918
"BE85","BE85","BE85_3",9.4520612751062
"BE86","BE86","BE86_3",9.49864858206398
"BE87","BE87","BE87_3",9.51536356179281
"BE88","BE88","BE88_3",9.54309952527496
"BE89","BE89","BE89_3",9.50521698700847
"BE90","BE90","BE90_3",9.56597968969206
"BE91","BE91","BE91_3",9.51381224047878
"BE92","BE92","BE92_3",9.40481854422208
"BE93","BE93","BE93_3",9.42296753823114
"BE94","BE94","BE94_3",9.43311600650628
"BE95","BE95","BE95_3",9.438706650061
"BE96","BE96","BE96_3",9.47064639073261
"BE97","BE97","BE97_3",9.47224080057207
"BE98","BE98","BE98_3",9.49776779306536
"BE99","BE99","BE99_3",9.49831992654088
"BF00","BF00","BF00_3",10.2142340868414
"BF01","BF01","BF01_3",10.1750406214203
"BF02","BF02","BF02_3",10.1316372398157
"BF03","BF03","BF03_3",10.0555853762827
"BF04","BF04","BF04_3",10.1180094130599
"BF05","BF05","BF05_3",10.0340321492591
"BF06","BF06","BF06_3",10.0584520877281
"BF07","BF07","BF07_3",10.0572130306948
"BF08","BF08","BF08_3",10.0422558202445
"BF10","BF10","BF10_3",10.1641763834119
"BF11","BF11","BF11_3",10.0978279337828
"BF12","BF12","BF12_3",10.1027153531451
"BF13","BF13","BF13_3",10.0495143204519
"BF14","BF14","BF14_3",10.0179015986473
"BF15","BF15","BF15_3",10.0005608842143
"BF16","BF16","BF16_3",10.0131657319894
"BF17","BF17","BF17_3",10.0113785770828
"BF18","BF18","BF18_3",10.0135104590598
"BF20","BF20","BF20_3",10.0881812534725
"BF21","BF21","BF21_3",10.0457517795412
"BF22","BF22","BF22_3",10.0840676888181
"BF23","BF23","BF23_3",10.0001274971095
"BF24","BF24","BF24_3",9.93736892275412
"BF25","BF25","BF25_3",9.9057525711385
"BF26","BF26","BF26_3",9.91219241609796
"BF27","BF27","BF27_3",9.92600258045331
"BF28","BF28","BF28_3",9.94033303599831
"BF29","BF29","BF29_3",9.95583926532853
"BF30","BF30","BF30_3",9.98460730935165
"BF31","BF31","BF31_3",9.99131489292262
"BF32","BF32","BF32_3",9.98500861449363
"BF33","BF33","BF33_3",9.94489129553193
"BF34","BF34","BF34_3",9.84236802518972
"BF35","BF35","BF35_3",9.79839747343222
"BF36","BF36","BF36_3",9.80120204312939
"BF37","BF37","BF37_3",9.79986854493707
"BF38","BF38","BF38_3",9.83133501555606
"BF39","BF39","BF39_3",9.90582973507699
"BF40","BF40","BF40_3",9.92512706883686
"BF41","BF41","BF41_3",9.93154298330199
"BF42","BF42","BF42_3",9.8875365180848
"BF43","BF43","BF43_3",9.94783825092297
"BF44","BF44","BF44_3",9.87989307756893
"BF45","BF45","BF45_3",9.78827767126009
"BF46","BF46","BF46_3",9.71695658815634
"BF47","BF47","BF47_3",9.71877814912131
"BF48","BF48","BF48_3",9.80989404792398
"BF49","BF49","BF49_3",9.85697624790873
"BF50","BF50","BF50_3",9.94375801275322
"BF51","BF51","BF51_3",9.86072180220746
"BF52","BF52","BF52_3",9.86198105959184
"BF53","BF53","BF53_3",9.87924880838443
"BF54","BF54","BF54_3",9.83824131149299
"BF55","BF55","BF55_3",9.75765058391523
"BF56","BF56","BF56_3",9.71497274343018
"BF57","BF57","BF57_3",9.66572489114208
"BF58","BF58","BF58_3",9.75801774573099
"BF59","BF59","BF59_3",9.80124162246593
"BF60","BF60","BF60_3",9.92790730002693
"BF61","BF61","BF61_3",9.85334996178541
"BF62","BF62","BF62_3",9.79451695936326
"BF63","BF63","BF63_3",9.7946044526975
"BF64","BF64","BF64_3",9.7897571777033
"BF65","BF65","BF65_3",9.74198722329495
"BF66","BF66","BF66_3",9.71374273426268
"BF67","BF67","BF67_3",9.7051816491723
"BF68","BF68","BF68_3",9.7426539223033
"BF69","BF69","BF69_3",9.73593653666247
"BF70","BF70","BF70_3",9.83951150788374
"BF71","BF71","BF71_3",9.8224124912988
"BF72","BF72","BF72_3",9.76183929628876
"BF73","BF73","BF73_3",9.73245317844547
"BF74","BF74","BF74_3",9.73048339690119
"BF75","BF75","BF75_3",9.72019281437377
"BF76","BF76","BF76_3",9.70871147263336
"BF77","BF77","BF77_3",9.69412367358225
"BF78","BF78","BF78_3",9.67948882702341
"BF79","BF79","BF79_3",9.69472379989962
"BF80","BF80","BF80_3",9.76251127688237
"BF81","BF81","BF81_3",9.71874745225512
"BF82","BF82","BF82_3",9.67011015524372
"BF83","BF83","BF83_3",9.66165001338052
"BF84","BF84","BF84_3",9.66803519356189
"BF85","BF85","BF85_3",9.65020307246482
"BF86","BF86","BF86_3",9.64009444092199
"BF87","BF87","BF87_3",9.62870450037847
"BF88","BF88","BF88_3",9.57907505249279
"BF89","BF89","BF89_3",9.62220336269008
"BF90","BF90","BF90_3",9.65205297165777
"BF91","BF91","BF91_3",9.56834616146185
"BF92","BF92","BF92_3",9.5835638760936
"BF93","BF93","BF93_3",9.58414951280993
"BF94","BF94","BF94_3",9.53557202696791
"BF95","BF95","BF95_3",9.56939609859487
"BF96","BF96","BF96_3",9.56809028557591
"BF97","BF97","BF97_3",9.56573403831926
"BF98","BF98","BF98_3",9.54483232847639
"BF99","BF99","BF99_3",9.57681976900624
"BG09","BG09","BG09_3",10.2245176903052
"BG19","BG19","BG19_3",10.2111650304368
"BG26","BG26","BG26_3",10.1851400495052
"BG27","BG27","BG27_3",10.1738618526236
"BG28","BG28","BG28_3",10.1763016032476
"BG29","BG29","BG29_3",10.1570585230275
"BG30","BG30","BG30_3",10.2651025826159
"BG31","BG31","BG31_3",10.2502414547786
"BG32","BG32","BG32_3",10.2393499873055
"BG33","BG33","BG33_3",10.2250872299594
"BG36","BG36","BG36_3",10.1725282987228
"BG37","BG37","BG37_3",10.1697775219943
"BG38","BG38","BG38_3",10.1673140169876
"BG39","BG39","BG39_3",10.05958477329
"BG40","BG40","BG40_3",10.236797120053
"BG41","BG41","BG41_3",10.2123321278598
"BG42","BG42","BG42_3",10.2022371939525
"BG43","BG43","BG43_3",10.1992079956183
"BG45","BG45","BG45_3",10.1661514594658
"BG48","BG48","BG48_3",10.094547136514
"BG49","BG49","BG49_3",10.0437476015553
"BG50","BG50","BG50_3",10.1489462613208
"BG51","BG51","BG51_3",10.1577067907359
"BG52","BG52","BG52_3",10.1524620181271
"BG53","BG53","BG53_3",10.1356828378307
"BG54","BG54","BG54_3",10.1307636893228
"BG55","BG55","BG55_3",10.1124450717328
"BG56","BG56","BG56_3",10.0988932613784
"BG57","BG57","BG57_3",10.0806328035916
"BG58","BG58","BG58_3",10.0558967595947
"BG59","BG59","BG59_3",10.0217201979408
"BG60","BG60","BG60_3",10.1275955734731
"BG61","BG61","BG61_3",10.1355497568434
"BG62","BG62","BG62_3",10.1130083939072
"BG63","BG63","BG63_3",10.1008371620648
"BG64","BG64","BG64_3",10.0743765880746
"BG65","BG65","BG65_3",10.0534699873679
"BG66","BG66","BG66_3",10.0704072483325
"BG67","BG67","BG67_3",10.0433858722555
"BG68","BG68","BG68_3",9.97565509814281
"BG69","BG69","BG69_3",9.94885270281439
"BG70","BG70","BG70_3",10.0888637736622
"BG71","BG71","BG71_3",10.088042773775
"BG72","BG72","BG72_3",10.0055623715646
"BG73","BG73","BG73_3",10.0063196132327
"BG74","BG74","BG74_3",9.99163040528532
"BG75","BG75","BG75_3",9.98091464998711
"BG76","BG76","BG76_3",10.0212416833724
"BG77","BG77","BG77_3",9.98149205735388
"BG78","BG78","BG78_3",9.9031413993553
"BG79","BG79","BG79_3",9.87606215177934
"BG80","BG80","BG80_3",10.0251785962672
"BG81","BG81","BG81_3",9.95157033415615
"BG82","BG82","BG82_3",9.94222518023236
"BG83","BG83","BG83_3",9.92894692966642
"BG84","BG84","BG84_3",9.86919090749156
"BG85","BG85","BG85_3",9.94093268999797
"BG86","BG86","BG86_3",9.96058019568037
"BG87","BG87","BG87_3",9.90667274118308
"BG88","BG88","BG88_3",9.86011127359702
"BG89","BG89","BG89_3",9.7570015601165
"BG90","BG90","BG90_3",9.97351995521064
"BG91","BG91","BG91_3",9.91681962650052
"BG92","BG92","BG92_3",9.83998186148253
"BG93","BG93","BG93_3",9.81202414648881
"BG94","BG94","BG94_3",9.83369910254678
"BG95","BG95","BG95_3",9.8903424497365
"BG96","BG96","BG96_3",9.82900183499832
"BG97","BG97","BG97_3",9.79846746483305
"BG98","BG98","BG98_3",9.79616545215311
"BG99","BG99","BG99_3",9.63720741594765
"BH49","BH49","BH49_3",10.2673999468486
"BH57","BH57","BH57_3",10.2215811204107
"BH58","BH58","BH58_3",10.1827477721881
"BH59","BH59","BH59_3",10.1484762902426
"BH66","BH66","BH66_3",10.2079444819816
"BH67","BH67","BH67_3",10.193125849362
"BH68","BH68","BH68_3",10.1527009498391
"BH69","BH69","BH69_3",10.1187253245312
"BH76","BH76","BH76_3",10.165088187457
"BH77","BH77","BH77_3",10.1398892330198
"BH78","BH78","BH78_3",10.0731904477917
"BH79","BH79","BH79_3",10.0689896950749
"BH86","BH86","BH86_3",10.1230394991521
"BH87","BH87","BH87_3",10.1133640047222
"BH88","BH88","BH88_3",10.0441888969517
"BH89","BH89","BH89_3",10.0205207597582
"BH96","BH96","BH96_3",10.0699411361823
"BH97","BH97","BH97_3",10.0623991026248
"BH98","BH98","BH98_3",10.0199747921988
"BH99","BH99","BH99_3",9.97699294295564
"CB70","CB70","CB70_3",9.64960541787556
"CB80","CB80","CB80_3",9.63845050358615
"CB81","CB81","CB81_3",9.68994755032298
"CB82","CB82","CB82_3",9.6735603436988
"CB90","CB90","CB90_3",9.66646649798835
"CB91","CB91","CB91_3",9.64076070311769
"CB92","CB92","CB92_3",9.6174827462573
"CB93","CB93","CB93_3",9.56411685090998
"CB94","CB94","CB94_3",9.63737962948097
"CC01","CC01","CC01_3",9.76283293860759
"CC03","CC03","CC03_3",9.76996774178413
"CC04","CC04","CC04_3",9.75564854428193
"CC05","CC05","CC05_3",9.76640736590763
"CC06","CC06","CC06_3",9.70863289731108
"CC10","CC10","CC10_3",9.74634609835161
"CC11","CC11","CC11_3",9.7514947823101
"CC14","CC14","CC14_3",9.77052472381278
"CC15","CC15","CC15_3",9.75812526584866
"CC16","CC16","CC16_3",9.7242119571825
"CC20","CC20","CC20_3",9.71132325988706
"CC21","CC21","CC21_3",9.63354409994136
"CC22","CC22","CC22_3",9.73171465359007
"CC23","CC23","CC23_3",9.75049700228256
"CC24","CC24","CC24_3",9.74036318998436
"CC25","CC25","CC25_3",9.73074720137463
"CC26","CC26","CC26_3",9.71902965205166
"CC30","CC30","CC30_3",9.64130905133424
"CC31","CC31","CC31_3",9.64001824264013
"CC32","CC32","CC32_3",9.60716493521557
"CC33","CC33","CC33_3",9.70804683371839
"CC34","CC34","CC34_3",9.65232013626832
"CC35","CC35","CC35_3",9.59316076451027
"CC36","CC36","CC36_3",9.60541856507125
"CC40","CC40","CC40_3",9.54763574332296
"CC41","CC41","CC41_3",9.58337018953412
"CC42","CC42","CC42_3",9.63702471994405
"CC43","CC43","CC43_3",9.70902159450187
"CC44","CC44","CC44_3",9.66782739285823
"CC45","CC45","CC45_3",9.52048499929595
"CC46","CC46","CC46_3",9.55029831919375
"CC47","CC47","CC47_3",9.73123329270115
"CC50","CC50","CC50_3",9.48931875992419
"CC51","CC51","CC51_3",9.50378302227268
"CC52","CC52","CC52_3",9.57804300418036
"CC53","CC53","CC53_3",9.65015652760154
"CC54","CC54","CC54_3",9.68507207543704
"CC55","CC55","CC55_3",9.59202589423188
"CC56","CC56","CC56_3",9.60181416242205
"CC57","CC57","CC57_3",9.69787645231288
"CC60","CC60","CC60_3",9.52290211787854
"CC61","CC61","CC61_3",9.5345558830615
"CC62","CC62","CC62_3",9.5952463274251
"CC63","CC63","CC63_3",9.62943844176687
"CC64","CC64","CC64_3",9.70718923314318
"CC65","CC65","CC65_3",9.68967803925902
"CC66","CC66","CC66_3",9.69760059777996
"CC67","CC67","CC67_3",9.65043052145834
"CC68","CC68","CC68_3",9.67877797420438
"CC70","CC70","CC70_3",9.46792921163351
"CC71","CC71","CC71_3",9.486682126577
"CC72","CC72","CC72_3",9.55222513373939
"CC73","CC73","CC73_3",9.68637116556895
"CC74","CC74","CC74_3",9.69704967752273
"CC75","CC75","CC75_3",9.68471396856333
"CC76","CC76","CC76_3",9.69370008389582
"CC77","CC77","CC77_3",9.6620489480774
"CC78","CC78","CC78_3",9.6580623794057
"CC79","CC79","CC79_3",9.64273483372877
"CC80","CC80","CC80_3",9.4029388967218
"CC81","CC81","CC81_3",9.36512667189514
"CC82","CC82","CC82_3",9.36297015603598
"CC83","CC83","CC83_3",9.58655763464841
