"","english_DOF","latin_DOF","Migration_a3_DOF_description","Migration_source","foraging_guild_consensus","foraging_guild_source"
"1","Eurasian Sparrowhawk","Accipiter nisus","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"2","Golden Eagle","Aquila chrysaetos","resident","DOF","Diurnal raptors","Davison et al., 2024"
"3","Northern Goshawk","Astur gentilis","resident","DOF","Diurnal raptors","Davison et al., 2024"
"4","Common Buzzard","Buteo buteo","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"5","Western Marsh Harrier","Circus aeruginosus","short- and long-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"6","Hen Harrier","Circus cyaneus","short-distance migrant","K. Thorup","Diurnal raptors","Davison et al., 2024"
"7","Montagu's Harrier","Circus pygargus","long-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"8","White-tailed Eagle","Haliaeetus albicilla","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"9","Red Kite","Milvus milvus","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"10","Western Osprey","Pandion haliaetus","long-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"11","European Honey Buzzard","Pernis apivorus","long-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"12","Northern Pintail","Anas acuta","short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"13","Eurasian Teal","Anas crecca","short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"14","Mallard","Anas platyrhynchos","resident and short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"15","Greylag Goose","Anser anser","resident and short-distance migrant","DOF","Grazing waterfowl","Davison et al., 2024"
"16","Common Pochard","Aythya ferina","short-distance migrant","DOF","Diving ducks","Davison et al., 2024"
"17","Tufted Duck","Aythya fuligula","short-distance migrant","DOF","Diving ducks","Davison et al., 2024"
"18","Barnacle Goose","Branta leucopsis","short-distance migrant","DOF","Grazing waterfowl","Davison et al., 2024"
"19","Common Goldeneye","Bucephala clangula","resident","DOF","Diving ducks","Davison et al., 2024"
"20","Whooper Swan","Cygnus cygnus","resident and short-distance migrant","DOF","Grazing waterfowl","C. Rahbek"
"21","Mute Swan","Cygnus olor","resident and short-distance migrant","DOF","Grazing waterfowl","Davison et al., 2024"
"22","Eurasian Wigeon","Mareca penelope","short-distance migrant","DOF","Grazing waterfowl","Davison et al., 2024"
"23","Gadwall","Mareca strepera","short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"24","Common Merganser","Mergus merganser","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"25","Red-breasted Merganser","Mergus serrator","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"26","Red-crested Pochard","Netta rufina","short-distance migrant","DOF","Dabbling ducks","C. Rahbek"
"27","Common Eider","Somateria mollissima","short-distance migrant","DOF","Diving ducks","Davison et al., 2024"
"28","Northern Shoveler","Spatula clypeata","short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"29","Garganey","Spatula querquedula","long-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"30","Common Shelduck","Tadorna tadorna","short-distance migrant","DOF","Dabbling ducks","Davison et al., 2024"
"31","Common Swift","Apus apus","long-distance migrant","DOF","Aerial insectivores","Davison et al., 2024"
"32","European Nightjar","Caprimulgus europaeus","long-distance migrant","DOF","Nigthjars","C. Rahbek"
"33","Common Sandpiper","Actitis hypoleucos","long-distance migrant","K. Thorup","Scolopacids","Davison et al., 2024"
"34","Razorbill","Alca torda","short-distance migrant","DOF","Aquatic pursuers","C. Rahbek"
"35","Kentish Plover","Anarhynchus alexandrinus","short- and long-distance migrant","DOF","Plovers","Davison et al., 2024"
"36","Ruddy Turnstone","Arenaria interpres","short-distance migrant","DOF","Scolopacids","Gotelli et al., 2010"
"37","Dunlin","Calidris alpina","long-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"38","Ruff","Calidris pugnax","long-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"39","Black Guillemot","Cepphus grylle","resident and short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"40","Little Ringed Plover","Charadrius dubius","short- and long-distance migrant","DOF","Plovers","Davison et al., 2024"
"41","Common Ringed Plover","Charadrius hiaticula","short-distance migrant","DOF","Plovers","Davison et al., 2024"
"42","Black Tern","Chlidonias niger","long-distance migrant","DOF","Terns","Gotelli et al., 2010"
"43","Black-headed Gull","Chroicocephalus ridibundus","short-distance migrant","DOF","Gulls","Davison et al., 2024"
"44","Common Snipe","Gallinago gallinago","short-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"45","Gull-billed Tern","Gelochelidon nilotica","long-distance migrant","DOF","Terns","Gotelli et al., 2010"
"46","Eurasian Oystercatcher","Haematopus ostralegus","short-distance migrant","DOF","Plovers","Davison et al., 2024"
"47","Little Gull","Hydrocoloeus minutus","short-distance migrant","DOF","Gulls","C. Rahbek"
"48","Caspian Tern","Hydroprogne caspia","long-distance migrant","DOF","Terns","C. Rahbek"
"49","Mediterranean Gull","Ichthyaetus melanocephalus","short-distance migrant","DOF","Gulls","Gotelli et al., 2010"
"50","European Herring Gull","Larus argentatus","resident and short-distance migrant","DOF","Gulls","Davison et al., 2024"
"51","Common Gull","Larus canus","resident and short-distance migrant","DOF","Gulls","Gotelli et al., 2010"
"52","Lesser Black-backed Gull","Larus fuscus","short- and long-distance migrant","DOF","Gulls","Davison et al., 2024"
"53","Great Black-backed Gull","Larus marinus","resident and short-distance migrant","DOF","Gulls","Davison et al., 2024"
"54","Black-tailed Godwit","Limosa limosa","long-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"55","Eurasian Curlew","Numenius arquata","short-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"56","European Golden Plover","Pluvialis apricaria","short-distance migrant","DOF","Plovers","Davison et al., 2024"
"57","Pied Avocet","Recurvirostra avosetta","short- and long-distance migrant","DOF","Plovers","Davison et al., 2024"
"58","Black-legged Kittiwake","Rissa tridactyla","long-distance migrant","DOF","Gulls","Gotelli et al., 2010"
"59","Eurasian Woodcock","Scolopax rusticola","resident and short-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"60","Common Tern","Sterna hirundo","long-distance migrant","DOF","Terns","Davison et al., 2024"
"61","Arctic Tern","Sterna paradisaea","long-distance migrant","DOF","Terns","Davison et al., 2024"
"62","Little Tern","Sternula albifrons","long-distance migrant","DOF","Terns","Davison et al., 2024"
"63","Sandwich Tern","Thalasseus sandvicensis","short- and long-distance migrant","DOF","Terns","Davison et al., 2024"
"64","Wood Sandpiper","Tringa glareola","long-distance migrant","DOF","Scolopacids","Gotelli et al., 2010"
"65","Green Sandpiper","Tringa ochropus","short- and long-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"66","Common Redshank","Tringa totanus","short-distance migrant","DOF","Scolopacids","Davison et al., 2024"
"67","Common Murre","Uria aalge","short-distance migrant","DOF","Aquatic pursuers","C. Rahbek"
"68","Northern Lapwing","Vanellus vanellus","short-distance migrant","DOF","Plovers","Davison et al., 2024"
"69","White Stork","Ciconia ciconia","long-distance migrant","DOF","Wading birds","Davison et al., 2024"
"70","Stock Dove","Columba oenas","short-distance migrant","DOF","Columbids","Davison et al., 2024"
"71","Common Wood Pigeon","Columba palumbus","resident and short-distance migrant","DOF","Columbids","Davison et al., 2024"
"72","Eurasian Collared Dove","Streptopelia decaocto","resident","DOF","Columbids","Davison et al., 2024"
"73","European Turtle Dove","Streptopelia turtur","long-distance migrant","DOF","Columbids","Davison et al., 2024"
"74","Common Kingfisher","Alcedo atthis","resident","DOF","Kingfishers","Davison et al., 2024"
"75","Common Cuckoo","Cuculus canorus","long-distance migrant","DOF","Cuckoos","Davison et al., 2024"
"76","Peregrine Falcon","Falco peregrinus","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"77","Eurasian Hobby","Falco subbuteo","long-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"78","Common Kestrel","Falco tinnunculus","resident and short-distance migrant","DOF","Diurnal raptors","Davison et al., 2024"
"79","Common Quail","Coturnix coturnix","short- and long-distance migrant","DOF","Gallinaceous birds","Davison et al., 2024"
"80","Black Grouse","Lyrurus tetrix","resident","DOF","Gallinaceous birds","Gotelli et al., 2010"
"81","Grey Partridge","Perdix perdix","resident","DOF","Gallinaceous birds","Davison et al., 2024"
"82","Corn Crake","Crex crex","long-distance migrant","DOF","Rails","Davison et al., 2024"
"83","Eurasian Coot","Fulica atra","resident and short-distance migrant","DOF","Rails","Davison et al., 2024"
"84","Common Moorhen","Gallinula chloropus","resident and short-distance migrant","DOF","Rails","Davison et al., 2024"
"85","Common Crane","Grus grus","resident and short-distance migrant","DOF","Wading birds","Davison et al., 2024"
"86","Spotted Crake","Porzana porzana","long-distance migrant","DOF","Rails","Davison et al., 2024"
"87","Water Rail","Rallus aquaticus","resident and short-distance migrant","DOF","Rails","Davison et al., 2024"
"88","Redpoll (ssp. cabaret)","Acanthis flammea","short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"89","Great Reed Warbler","Acrocephalus arundinaceus","long-distance migrant","DOF","Marsh warblers","Gotelli et al., 2010"
"90","Marsh Warbler","Acrocephalus palustris","long-distance migrant","DOF","Marsh warblers","Davison et al., 2024"
"91","Sedge Warbler","Acrocephalus schoenobaenus","long-distance migrant","DOF","Marsh warblers","Davison et al., 2024"
"92","Eurasian Reed Warbler","Acrocephalus scirpaceus","long-distance migrant","DOF","Marsh warblers","Davison et al., 2024"
"93","Long-tailed Tit","Aegithalos caudatus","resident","DOF","Tit-like birds","Davison et al., 2024"
"94","Eurasian Skylark","Alauda arvensis","resident and short-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"95","Tawny Pipit","Anthus campestris","long-distance migrant","DOF","Open-land insectivores","Gotelli et al., 2010"
"96","European Rock Pipit","Anthus petrosus","resident and short-distance migrant","DOF","Open-land insectivores","C. Rahbek"
"97","Meadow Pipit","Anthus pratensis","short-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"98","Tree Pipit","Anthus trivialis","long-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"99","European Goldfinch","Carduelis carduelis","resident and short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"100","Common Rosefinch","Carpodacus erythrinus","long-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"101","Short-toed Treecreeper","Certhia brachydactyla","resident","DOF","Tit-like birds","Davison et al., 2024"
"102","Eurasian Treecreeper","Certhia familiaris","resident","DOF","Tit-like birds","Davison et al., 2024"
"103","European Greenfinch","Chloris chloris","resident and short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"104","White-throated Dipper","Cinclus cinclus","short-distance migrant","DOF","Dippers","C. Rahbek"
"105","Hawfinch","Coccothraustes coccothraustes","resident","DOF","Passerine seedeaters","Davison et al., 2024"
"106","Western Jackdaw","Coloeus monedula","resident and short-distance migrant","DOF","Omnivorous corvids","Davison et al., 2024"
"107","Northern Raven","Corvus corax","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"108","Hooded Crow","Corvus cornix","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"109","Carrion Crow","Corvus corone","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"110","Rook","Corvus frugilegus","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"111","Common Whitethroat","Curruca communis","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"112","Lesser Whitethroat","Curruca curruca","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"113","Barred Warbler","Curruca nisoria","long-distance migrant","DOF","Foliage gleaners","Gotelli et al., 2010"
"114","Eurasian Blue Tit","Cyanistes caeruleus","resident","DOF","Tit-like birds","Davison et al., 2024"
"115","Common House Martin","Delichon urbicum","long-distance migrant","DOF","Aerial insectivores","Davison et al., 2024"
"116","Corn Bunting","Emberiza calandra","resident","DOF","Buntings","Davison et al., 2024"
"117","Yellowhammer","Emberiza citrinella","resident","DOF","Buntings","Davison et al., 2024"
"118","Common Reed Bunting","Emberiza schoeniclus","resident and short-distance migrant","DOF","Buntings","Davison et al., 2024"
"119","European Robin","Erithacus rubecula","resident","DOF","Low flycatching feeders","Davison et al., 2024"
"120","European Pied Flycatcher","Ficedula hypoleuca","long-distance migrant","DOF","Flycatchers","Davison et al., 2024"
"121","Red-breasted Flycatcher","Ficedula parva","long-distance migrant","DOF","Flycatchers","Davison et al., 2024"
"122","Common Chaffinch","Fringilla coelebs","resident and short-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"123","Brambling","Fringilla montifringilla","short-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"124","Crested Lark","Galerida cristata","resident","DOF","Open-land insectivores","Gotelli et al., 2010"
"125","Eurasian Jay","Garrulus glandarius","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"126","Icterine Warbler","Hippolais icterina","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"127","Barn Swallow","Hirundo rustica","long-distance migrant","DOF","Aerial insectivores","Davison et al., 2024"
"128","Red-backed Shrike","Lanius collurio","long-distance migrant","DOF","Shrikes","Davison et al., 2024"
"129","Great Grey Shrike","Lanius excubitor","resident","DOF","Shrikes","Davison et al., 2024"
"130","Common Linnet","Linaria cannabina","short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"131","River Warbler","Locustella fluviatilis","long-distance migrant","DOF","Marsh warblers","Gotelli et al., 2010"
"132","Savi's Warbler","Locustella luscinioides","long-distance migrant","DOF","Marsh warblers","Gotelli et al., 2010"
"133","Common Grasshopper Warbler","Locustella naevia","long-distance migrant","DOF","Marsh warblers","Davison et al., 2024"
"134","European Crested Tit","Lophophanes cristatus","resident","DOF","Tit-like birds","Davison et al., 2024"
"135","Red Crossbill","Loxia curvirostra","resident and short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"136","Two-barred Crossbill","Loxia leucoptera","resident and short-distance migrant","DOF","Passerine seedeaters","C. Rahbek"
"137","Woodlark","Lullula arborea","short-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"138","Thrush Nightingale","Luscinia luscinia","long-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"139","Common Nightingale","Luscinia megarhynchos","long-distance migrant","K. Thorup","Low flycatching feeders","Gotelli et al., 2010"
"140","Bluethroat","Luscinia svecica","short-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"141","White Wagtail","Motacilla alba","short-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"142","Grey Wagtail","Motacilla cinerea","resident and short-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"143","Western Yellow Wagtail","Motacilla flava","long-distance migrant","DOF","Open-land insectivores","Davison et al., 2024"
"144","Spotted Flycatcher","Muscicapa striata","long-distance migrant","DOF","Flycatchers","Davison et al., 2024"
"145","Spotted Nutcracker","Nucifraga caryocatactes","resident","DOF","Omnivorous corvids","Gotelli et al., 2010"
"146","Northern Wheatear","Oenanthe oenanthe","long-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"147","Eurasian Golden Oriole","Oriolus oriolus","long-distance migrant","DOF","Orioles","Davison et al., 2024"
"148","Bearded Reedling","Panurus biarmicus","resident","DOF","Reedlings","Davison et al., 2024"
"149","Great Tit","Parus major","resident and short-distance migrant","DOF","Tit-like birds","Davison et al., 2024"
"150","House Sparrow","Passer domesticus","resident","DOF","Passerine seedeaters","Davison et al., 2024"
"151","Eurasian Tree Sparrow","Passer montanus","resident","DOF","Passerine seedeaters","Davison et al., 2024"
"152","Coal Tit","Periparus ater","resident","DOF","Tit-like birds","Davison et al., 2024"
"153","Black Redstart","Phoenicurus ochruros","resident and short-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"154","Common Redstart","Phoenicurus phoenicurus","long-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"155","Common Chiffchaff","Phylloscopus collybita","short-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"156","Wood Warbler","Phylloscopus sibilatrix","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"157","Greenish Warbler","Phylloscopus trochiloides","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"158","Willow Warbler","Phylloscopus trochilus","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"159","Eurasian Magpie","Pica pica","resident","DOF","Omnivorous corvids","Davison et al., 2024"
"160","Willow Tit","Poecile montanus","resident","DOF","Tit-like birds","Davison et al., 2024"
"161","Marsh Tit","Poecile palustris","resident","DOF","Tit-like birds","Davison et al., 2024"
"162","Dunnock","Prunella modularis","resident and short-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"163","Eurasian Bullfinch","Pyrrhula pyrrhula","short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"164","Common Firecrest","Regulus ignicapilla","short-distance migrant","DOF","Tit-like birds","C. Rahbek"
"165","Goldcrest","Regulus regulus","short-distance migrant","DOF","Tit-like birds","Davison et al., 2024"
"166","Eurasian Penduline Tit","Remiz pendulinus","short-distance migrant","DOF","Tit-like birds","Davison et al., 2024"
"167","Sand Martin","Riparia riparia","long-distance migrant","DOF","Aerial insectivores","Davison et al., 2024"
"168","Whinchat","Saxicola rubetra","long-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"169","European Stonechat","Saxicola rubicola","short-distance migrant","DOF","Low flycatching feeders","Davison et al., 2024"
"170","European Serin","Serinus serinus","short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"171","Eurasian Nuthatch","Sitta europaea","resident","DOF","Tit-like birds","Davison et al., 2024"
"172","Eurasian Siskin","Spinus spinus","resident and short-distance migrant","DOF","Passerine seedeaters","Davison et al., 2024"
"173","Common Starling","Sturnus vulgaris","short-distance migrant","DOF","Starlings","Davison et al., 2024"
"174","Eurasian Blackcap","Sylvia atricapilla","short-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"175","Garden Warbler","Sylvia borin","long-distance migrant","DOF","Foliage gleaners","Davison et al., 2024"
"176","Eurasian Wren","Troglodytes troglodytes","resident","DOF","Low flycatching feeders","Davison et al., 2024"
"177","Redwing","Turdus iliacus","short-distance migrant","DOF","Thrushes","Gotelli et al., 2010"
"178","Common Blackbird","Turdus merula","resident","DOF","Thrushes","Davison et al., 2024"
"179","Song Thrush","Turdus philomelos","short-distance migrant","DOF","Thrushes","Davison et al., 2024"
"180","Fieldfare","Turdus pilaris","short-distance migrant","DOF","Thrushes","Davison et al., 2024"
"181","Mistle Thrush","Turdus viscivorus","short-distance migrant","DOF","Thrushes","Davison et al., 2024"
"182","Grey Heron","Ardea cinerea","resident and short-distance migrant","DOF","Wading birds","Davison et al., 2024"
"183","Eurasian Bittern","Botaurus stellaris","resident and short-distance migrant","DOF","Wading birds","Davison et al., 2024"
"184","Eurasian Spoonbill","Platalea leucorodia","short- and long-distance migrant","DOF","Wading birds","Davison et al., 2024"
"185","Great Spotted Woodpecker","Dendrocopos major","resident","DOF","Woodpeckers","Davison et al., 2024"
"186","Lesser Spotted Woodpecker","Dryobates minor","resident and short-distance migrant","DOF","Woodpeckers","Gotelli et al., 2010"
"187","Black Woodpecker","Dryocopus martius","resident","DOF","Woodpeckers","Davison et al., 2024"
"188","Eurasian Wryneck","Jynx torquilla","short-distance migrant","DOF","Woodpeckers","Davison et al., 2024"
"189","European Green Woodpecker","Picus viridis","resident","DOF","Woodpeckers","Davison et al., 2024"
"190","Great Crested Grebe","Podiceps cristatus","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"191","Red-necked Grebe","Podiceps grisegena","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"192","Black-necked Grebe","Podiceps nigricollis","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"193","Little Grebe","Tachybaptus ruficollis","resident and short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
"194","Boreal Owl","Aegolius funereus","resident","DOF","Owls","C. Rahbek"
"195","Short-eared Owl","Asio flammeus","resident and short-distance migrant","DOF","Owls","Davison et al., 2024"
"196","Long-eared Owl","Asio otus","resident","DOF","Owls","Gotelli et al., 2010"
"197","Little Owl","Athene noctua","resident","DOF","Owls","Gotelli et al., 2010"
"198","Eurasian Eagle-Owl","Bubo bubo","resident","DOF","Owls","C. Rahbek"
"199","Tawny Owl","Strix aluco","resident","DOF","Owls","Davison et al., 2024"
"200","Western Barn Owl","Tyto alba","resident","DOF","Owls","C. Rahbek"
"201","Great Cormorant","Phalacrocorax carbo","short-distance migrant","DOF","Aquatic pursuers","Davison et al., 2024"
