"","latin_DOF_underscores","Migration_a3_DOF","foraging_guild_consensus"
"1","Accipiter_nisus","sedentary and short-distance","Diurnal raptors"
"2","Aquila_chrysaetos","sedentary","Diurnal raptors"
"3","Astur_gentilis","sedentary","Diurnal raptors"
"4","Buteo_buteo","sedentary and short-distance","Diurnal raptors"
"5","Circus_aeruginosus","short-and long-distance","Diurnal raptors"
"6","Circus_cyaneus","short-distance","Diurnal raptors"
"7","Circus_pygargus","long-distance","Diurnal raptors"
"8","Haliaeetus_albicilla","sedentary and short-distance","Diurnal raptors"
"9","Milvus_milvus","sedentary and short-distance","Diurnal raptors"
"10","Pandion_haliaetus","long-distance","Diurnal raptors"
"11","Pernis_apivorus","long-distance","Diurnal raptors"
"12","Anas_acuta","short-distance","Dabbling ducks"
"13","Anas_crecca","short-distance","Dabbling ducks"
"14","Anas_platyrhynchos","sedentary and short-distance","Dabbling ducks"
"15","Anser_anser","sedentary and short-distance","Grazing waterfowl"
"16","Aythya_ferina","short-distance","Diving ducks"
"17","Aythya_fuligula","short-distance","Diving ducks"
"18","Branta_leucopsis","short-distance","Grazing waterfowl"
"19","Bucephala_clangula","sedentary","Diving ducks"
"20","Cygnus_cygnus","sedentary and short-distance","Grazing waterfowl"
"21","Cygnus_olor","sedentary and short-distance","Grazing waterfowl"
"22","Mareca_penelope","short-distance","Grazing waterfowl"
"23","Mareca_strepera","short-distance","Dabbling ducks"
"24","Mergus_merganser","short-distance","Aquatic pursuers"
"25","Mergus_serrator","short-distance","Aquatic pursuers"
"26","Netta_rufina","short-distance","Dabbling ducks"
"27","Somateria_mollissima","short-distance","Diving ducks"
"28","Spatula_clypeata","short-distance","Dabbling ducks"
"29","Spatula_querquedula","long-distance","Dabbling ducks"
"30","Tadorna_tadorna","short-distance","Dabbling ducks"
"31","Apus_apus","long-distance","Aerial insectivores"
"32","Caprimulgus_europaeus","long-distance","Nigthjars"
"33","Actitis_hypoleucos","long-distance","Scolopacids"
"34","Alca_torda","short-distance","Aquatic pursuers"
"35","Anarhynchus_alexandrinus","short-and long-distance","Plovers"
"36","Arenaria_interpres","short-distance","Scolopacids"
"37","Calidris_alpina","long-distance","Scolopacids"
"38","Calidris_pugnax","long-distance","Scolopacids"
"39","Cepphus_grylle","sedentary and short-distance","Aquatic pursuers"
"40","Charadrius_dubius","short-and long-distance","Plovers"
"41","Charadrius_hiaticula","short-distance","Plovers"
"42","Chlidonias_niger","long-distance","Terns"
"43","Chroicocephalus_ridibundus","short-distance","Gulls"
"44","Gallinago_gallinago","short-distance","Scolopacids"
"45","Gelochelidon_nilotica","long-distance","Terns"
"46","Haematopus_ostralegus","short-distance","Plovers"
"47","Hydrocoloeus_minutus","short-distance","Gulls"
"48","Hydroprogne_caspia","long-distance","Terns"
"49","Ichthyaetus_melanocephalus","short-distance","Gulls"
"50","Larus_argentatus","sedentary and short-distance","Gulls"
"51","Larus_canus","sedentary and short-distance","Gulls"
"52","Larus_fuscus","short-and long-distance","Gulls"
"53","Larus_marinus","sedentary and short-distance","Gulls"
"54","Limosa_limosa","long-distance","Scolopacids"
"55","Numenius_arquata","short-distance","Scolopacids"
"56","Pluvialis_apricaria","short-distance","Plovers"
"57","Recurvirostra_avosetta","short-and long-distance","Plovers"
"58","Rissa_tridactyla","long-distance","Gulls"
"59","Scolopax_rusticola","sedentary and short-distance","Scolopacids"
"60","Sterna_hirundo","long-distance","Terns"
"61","Sterna_paradisaea","long-distance","Terns"
"62","Sternula_albifrons","long-distance","Terns"
"63","Thalasseus_sandvicensis","short-and long-distance","Terns"
"64","Tringa_glareola","long-distance","Scolopacids"
"65","Tringa_ochropus","short-and long-distance","Scolopacids"
"66","Tringa_totanus","short-distance","Scolopacids"
"67","Uria_aalge","short-distance","Aquatic pursuers"
"68","Vanellus_vanellus","short-distance","Plovers"
"69","Ciconia_ciconia","long-distance","Wading birds"
"70","Columba_oenas","short-distance","Columbids"
"71","Columba_palumbus","sedentary and short-distance","Columbids"
"72","Streptopelia_decaocto","sedentary","Columbids"
"73","Streptopelia_turtur","long-distance","Columbids"
"74","Alcedo_atthis","sedentary","Kingfishers"
"75","Cuculus_canorus","long-distance","Cuckoos"
"76","Falco_peregrinus","sedentary and short-distance","Diurnal raptors"
"77","Falco_subbuteo","long-distance","Diurnal raptors"
"78","Falco_tinnunculus","sedentary and short-distance","Diurnal raptors"
"79","Coturnix_coturnix","short-and long-distance","Gallinaceous birds"
"80","Lyrurus_tetrix","sedentary","Gallinaceous birds"
"81","Perdix_perdix","sedentary","Gallinaceous birds"
"82","Crex_crex","long-distance","Rails"
"83","Fulica_atra","sedentary and short-distance","Rails"
"84","Gallinula_chloropus","sedentary and short-distance","Rails"
"85","Grus_grus","sedentary and short-distance","Wading birds"
"86","Porzana_porzana","long-distance","Rails"
"87","Rallus_aquaticus","sedentary and short-distance","Rails"
"88","Acanthis_flammea","short-distance","Passerine seedeaters"
"89","Acrocephalus_arundinaceus","long-distance","Marsh warblers"
"90","Acrocephalus_palustris","long-distance","Marsh warblers"
"91","Acrocephalus_schoenobaenus","long-distance","Marsh warblers"
"92","Acrocephalus_scirpaceus","long-distance","Marsh warblers"
"93","Aegithalos_caudatus","sedentary","Tit-like birds"
"94","Alauda_arvensis","sedentary and short-distance","Open-land insectivores"
"95","Anthus_campestris","long-distance","Open-land insectivores"
"96","Anthus_petrosus","sedentary and short-distance","Open-land insectivores"
"97","Anthus_pratensis","short-distance","Open-land insectivores"
"98","Anthus_trivialis","long-distance","Low flycatching feeders"
"99","Carduelis_carduelis","sedentary and short-distance","Passerine seedeaters"
"100","Carpodacus_erythrinus","long-distance","Passerine seedeaters"
"101","Certhia_brachydactyla","sedentary","Tit-like birds"
"102","Certhia_familiaris","sedentary","Tit-like birds"
"103","Chloris_chloris","sedentary and short-distance","Passerine seedeaters"
"104","Cinclus_cinclus","short-distance","Dippers"
"105","Coccothraustes_coccothraustes","sedentary","Passerine seedeaters"
"106","Coloeus_monedula","sedentary and short-distance","Omnivorous corvids"
"107","Corvus_corax","sedentary","Omnivorous corvids"
"108","Corvus_cornix","sedentary","Omnivorous corvids"
"109","Corvus_corone","sedentary","Omnivorous corvids"
"110","Corvus_frugilegus","sedentary","Omnivorous corvids"
"111","Curruca_communis","long-distance","Foliage gleaners"
"112","Curruca_curruca","long-distance","Foliage gleaners"
"113","Curruca_nisoria","long-distance","Foliage gleaners"
"114","Cyanistes_caeruleus","sedentary","Tit-like birds"
"115","Delichon_urbicum","long-distance","Aerial insectivores"
"116","Emberiza_calandra","sedentary","Buntings"
"117","Emberiza_citrinella","sedentary","Buntings"
"118","Emberiza_schoeniclus","sedentary and short-distance","Buntings"
"119","Erithacus_rubecula","sedentary","Low flycatching feeders"
"120","Ficedula_hypoleuca","long-distance","Flycatchers"
"121","Ficedula_parva","long-distance","Flycatchers"
"122","Fringilla_coelebs","sedentary and short-distance","Foliage gleaners"
"123","Fringilla_montifringilla","short-distance","Foliage gleaners"
"124","Galerida_cristata","sedentary","Open-land insectivores"
"125","Garrulus_glandarius","sedentary","Omnivorous corvids"
"126","Hippolais_icterina","long-distance","Foliage gleaners"
"127","Hirundo_rustica","long-distance","Aerial insectivores"
"128","Lanius_collurio","long-distance","Shrikes"
"129","Lanius_excubitor","sedentary","Shrikes"
"130","Linaria_cannabina","short-distance","Passerine seedeaters"
"131","Locustella_fluviatilis","long-distance","Marsh warblers"
"132","Locustella_luscinioides","long-distance","Marsh warblers"
"133","Locustella_naevia","long-distance","Marsh warblers"
"134","Lophophanes_cristatus","sedentary","Tit-like birds"
"135","Loxia_curvirostra","sedentary and short-distance","Passerine seedeaters"
"136","Loxia_leucoptera","sedentary and short-distance","Passerine seedeaters"
"137","Lullula_arborea","short-distance","Open-land insectivores"
"138","Luscinia_luscinia","long-distance","Low flycatching feeders"
"139","Luscinia_megarhynchos","long-distance","Low flycatching feeders"
"140","Luscinia_svecica","short-distance","Low flycatching feeders"
"141","Motacilla_alba","short-distance","Open-land insectivores"
"142","Motacilla_cinerea","sedentary and short-distance","Open-land insectivores"
"143","Motacilla_flava","long-distance","Open-land insectivores"
"144","Muscicapa_striata","long-distance","Flycatchers"
"145","Nucifraga_caryocatactes","sedentary","Omnivorous corvids"
"146","Oenanthe_oenanthe","long-distance","Low flycatching feeders"
"147","Oriolus_oriolus","long-distance","Orioles"
"148","Panurus_biarmicus","sedentary","Reedlings"
"149","Parus_major","sedentary and short-distance","Tit-like birds"
"150","Passer_domesticus","sedentary","Passerine seedeaters"
"151","Passer_montanus","sedentary","Passerine seedeaters"
"152","Periparus_ater","sedentary","Tit-like birds"
"153","Phoenicurus_ochruros","sedentary and short-distance","Low flycatching feeders"
"154","Phoenicurus_phoenicurus","long-distance","Low flycatching feeders"
"155","Phylloscopus_collybita","short-distance","Foliage gleaners"
"156","Phylloscopus_sibilatrix","long-distance","Foliage gleaners"
"157","Phylloscopus_trochiloides","long-distance","Foliage gleaners"
"158","Phylloscopus_trochilus","long-distance","Foliage gleaners"
"159","Pica_pica","sedentary","Omnivorous corvids"
"160","Poecile_montanus","sedentary","Tit-like birds"
"161","Poecile_palustris","sedentary","Tit-like birds"
"162","Prunella_modularis","sedentary and short-distance","Low flycatching feeders"
"163","Pyrrhula_pyrrhula","short-distance","Passerine seedeaters"
"164","Regulus_ignicapilla","short-distance","Tit-like birds"
"165","Regulus_regulus","short-distance","Tit-like birds"
"166","Remiz_pendulinus","short-distance","Tit-like birds"
"167","Riparia_riparia","long-distance","Aerial insectivores"
"168","Saxicola_rubetra","long-distance","Low flycatching feeders"
"169","Saxicola_rubicola","short-distance","Low flycatching feeders"
"170","Serinus_serinus","short-distance","Passerine seedeaters"
"171","Sitta_europaea","sedentary","Tit-like birds"
"172","Spinus_spinus","sedentary and short-distance","Passerine seedeaters"
"173","Sturnus_vulgaris","short-distance","Starlings"
"174","Sylvia_atricapilla","short-distance","Foliage gleaners"
"175","Sylvia_borin","long-distance","Foliage gleaners"
"176","Troglodytes_troglodytes","sedentary","Low flycatching feeders"
"177","Turdus_iliacus","short-distance","Thrushes"
"178","Turdus_merula","sedentary","Thrushes"
"179","Turdus_philomelos","short-distance","Thrushes"
"180","Turdus_pilaris","short-distance","Thrushes"
"181","Turdus_viscivorus","short-distance","Thrushes"
"182","Ardea_cinerea","sedentary and short-distance","Wading birds"
"183","Botaurus_stellaris","sedentary and short-distance","Wading birds"
"184","Platalea_leucorodia","short-and long-distance","Wading birds"
"185","Dendrocopos_major","sedentary","Woodpeckers"
"186","Dryobates_minor","sedentary and short-distance","Woodpeckers"
"187","Dryocopus_martius","sedentary","Woodpeckers"
"188","Jynx_torquilla","short-distance","Woodpeckers"
"189","Picus_viridis","sedentary","Woodpeckers"
"190","Podiceps_cristatus","short-distance","Aquatic pursuers"
"191","Podiceps_grisegena","short-distance","Aquatic pursuers"
"192","Podiceps_nigricollis","short-distance","Aquatic pursuers"
"193","Tachybaptus_ruficollis","sedentary and short-distance","Aquatic pursuers"
"194","Aegolius_funereus","sedentary","Owls"
"195","Asio_flammeus","sedentary and short-distance","Owls"
"196","Asio_otus","sedentary","Owls"
"197","Athene_noctua","sedentary","Owls"
"198","Bubo_bubo","sedentary","Owls"
"199","Strix_aluco","sedentary","Owls"
"200","Tyto_alba","sedentary","Owls"
"201","Phalacrocorax_carbo","short-distance","Aquatic pursuers"
